subject,file,stimuli_order,item_id,headword,meaning,example,Response,RT_ms
19,cleaned_10a,46,1099,飞白,名词。修辞手法，指故意运用白字（别字）达到某种修辞效果。如把“吹毛求疵”改成“吹毛求屁”，把“研究研究”说成“烟酒烟酒”等。,今天课上李老师给我们讲了飞白的修辞手法。,7,2934.199999994016
19,cleaned_10a,47,701,水族,名词。生活在水中的动物的总称。,水族馆。,3,2558.699999994016
19,cleaned_10a,48,897,自在,形容词。自由；不受拘束。,逍遥自在。,3,2217.79999999702
19,cleaned_10a,49,65,下脚,名词。下脚料。,西宁市一些集体所有制企业，利用大毛纺织厂的下脚料生产中低档毛纺织品，丰富了市场供应。,7,2987.499999997031
19,cleaned_10a,50,140,做工,动词。从事体力劳动（多指工业或手工业劳动）。,她在纺纱厂做工。,4,2033.100000003004
19,cleaned_10a,51,388,孩儿,名词。孩子。,这对夫妻只有一个孩儿。,2,2932.999999994063
19,cleaned_10a,52,526,扑腾,动词。挥霍；浪费。,钱全扑腾完了。,7,1947.600000003004
19,cleaned_10a,53,966,谦辞,名词。表示谦虚的言辞，如“过奖、不敢当”等。也作谦词。,与人交往时，恰当使用谦辞能够给对方留下良好的印象。,4,3684.999999991036
19,cleaned_10a,54,615,断代,动词。比喻事业中断或后继无人。,加紧培养接班人，不能让这种绝技断代。,5,2426.899999996996
19,cleaned_10a,55,125,供养,动词。用供品祭祀（神佛和祖先）。,寺庙里的和尚们每天都会精心准备供品，供养神佛，以表达虔诚的信仰和感激之情。,4,2185.400000002992
19,cleaned_10a,56,9998,烟花,名词。旧时指妓女。,沦为烟花。,6,3429.5
19,cleaned_10a,57,963,调拨,动词。挑拨。,他总是在同事之间调拨离间，制造不必要的矛盾，真是令人厌恶。,5,3994.800000002957
19,cleaned_10a,58,740,清明,形容词。清澈而明朗。,月色清明。,5,3028.099999999977
19,cleaned_10a,59,647,本事,名词。文学作品主题所根据的故事情节。,这些诗词的本事年久失考。,7,3954.299999994051
19,cleaned_10a,60,793,牙床,名词。有象牙雕刻装饰的床，也泛指装饰精美的床。,在这次文物展上，有一张精美的牙床深深地吸引了大家的目光。,3,4648.399999991059
19,cleaned_10a,61,173,分号,名词。分店。,本店只此一家，别无分号。,7,3335.20000000298
19,cleaned_10a,62,1060,针眼,名词。被针扎过之后所留下的小孔。,我的皮肤比较敏感，每次打针后针眼周围都会有些痒，需要过一阵才会好。,4,4103.300000002957
19,cleaned_10a,63,774,热拍,动词。集中力量紧张地拍摄。,这部电视剧正在南方热拍。,7,3589.399999996996
19,cleaned_10a,64,622,新生,名词。新生命。,获得新生。,4,3397.599999999977
19,cleaned_10a,65,694,残毒,名词。作物、牧草等上面残存的农药或其他污染物质；动物吃了含毒植物后残存在肉、乳、蛋、毛里面的农药或其他污染物质。,从目前看，农药残毒是农药污染的主要因素。,5,3530.899999996996
19,cleaned_10a,66,613,文饰,动词。掩饰（自己的过错）。,文饰这种丑恶的，正是那些山羊式的文人。,7,2101.899999994028
19,cleaned_10a,67,638,晚霜,名词。适合晚上使用的护肤品，主要作用是滋养、保护睡眠状态下的肌肤。,她每天晚上睡前都会仔细地涂抹晚霜来呵护肌肤。,7,3323.900000002992
19,cleaned_10a,68,110,人道,动词。指人性交（就能力而言，多用于否定式）。,古人男子三十而取，女子二十而嫁，使其气血充足，然后行其人道。,7,9403.400000000023
19,cleaned_10a,69,1102,马号,名词。公家或大户人家养马的地方。,王磊说着，几步跨出营房就到马号去牵马。,7,2366.999999994063
19,cleaned_10a,70,28,上调,动词。（价格、利率等）向上调整。,某些商品的价格有上调和下降的现象也是合理的。,3,3745.899999991059
19,cleaned_10a,71,521,扑棱,拟声词。形容翅膀抖动的声音。,扑棱一声，飞起一只小鸟。,3,1852.099999999977
19,cleaned_10a,72,17,上来,动词；趋向动词。用在动词后，表示成功地完成某事。,这个问题你一定答得上来。,2,3020.099999999977
19,cleaned_10a,73,676,款款,副词。〈书面语〉慢慢地。,款款而行。,4,2985.499999991036
19,cleaned_10a,74,630,旋子,名词。一种金属器具，像盘而较大，通常用来做粉皮等。,这个旋子被用来做粉皮了。,7,1443.599999997008
19,cleaned_10a,75,342,大大,名词。〈口语〉尊称年长的男子（一般指年纪大于父亲的）。,小时候，我常常去大大家里玩，他总会给我讲很多有趣的故事。,7,4138.000000002969
19,cleaned_10a,76,229,口服,动词。内服。,口服药。,4,3218.199999997043
19,cleaned_10a,77,362,大车,名词。牲口拉的两轮或四轮载重车。,老爷一辆太平车，太太一辆河南棚车，其余家人都是半装半坐的大车。,7,2875.499999991036
19,cleaned_10a,78,299,土方,名词。民间流传的、不见于医药专门著作的药方。,石得富怕土方子越弄越坏，叫她们问队伍上的同志。,5,5149.799999994051
19,cleaned_10a,79,251,名家,名词。在某种学术或技能方面有特殊贡献的著名人物。,请名家写一篇书评比登天还难。,4,3368.79999999702
19,cleaned_10a,80,384,字号,名词。排版印刷上用来标示汉字大小的编号。从初号到八号，初号字最大，八号字最小，最常用的是五号字。,在编辑文档时，请确保所有段落都使用统一的字号，以保持格式的一致性。,5,4854.20000000298
19,cleaned_10a,81,619,断案,动词。审判诉讼案件。,秉公断案。,4,3825.799999999988
19,cleaned_10a,82,902,自然,形容词。自由发展；不经人力干预（区别于“人工、人造”）。,自然免疫。,2,9783.59999999404
19,cleaned_10a,83,319,填房,名词。指前妻死后续娶的妻子。,做填房如果遇见前妻的子女好倒也罢了。,7,1906.399999996996
19,cleaned_10a,84,789,片子,名词。名片。,递给他一张片子。,5,3310.600000003004
19,cleaned_10a,85,693,残毒,形容词。凶残狠毒。,生性残毒。,6,2446.499999997031
19,cleaned_10a,86,745,游方,动词。云游四方。,游方郎中。,7,1677.199999991048
19,cleaned_10a,87,245,同行,动词。行业相同。,他俩同行，都是学医的。,4,3073.699999997043
19,cleaned_10a,88,1036,通电,动词。把宣布政治上某种主张的电报拍给有关方面，同时公开发表。,通电全国。,7,4925.700000000012
19,cleaned_10a,89,700,水族,名词。我国少数民族之一，分布在贵州。,这位学者对水族的历史和习俗进行了深入的研究。,7,2899.800000002957
19,cleaned_10a,90,126,倒仓,动词。把仓里的粮食全取出来，晾晒之后，再装进去。,今年秋天，我们要对粮仓进行倒仓，确保粮食干燥不霉变。,7,6257.999999994063
19,cleaned_10a,91,960,调制,动词。调配制作。,调制鸡尾酒。,6,2469.099999991013
19,cleaned_10a,92,629,旋子,名词。圈儿。,鸟儿见了火光惊飞起来，打了几个旋子，消失在黑暗中。,7,1420.79999999702
19,cleaned_10a,93,611,文理,名词。文科和理科的合称。,文理分科。,5,2688.899999996996
19,cleaned_10a,94,431,居处,动词。居住（在某个地方）。,居处陋巷。,6,3182.599999991013
19,cleaned_10a,95,895,自制,动词。自己制造。,自制糕点。,3,3096.300000000047
19,cleaned_10a,96,1003,转载,动词。过载。把一个运输工具上装载的东西卸下来，装到另一个运输工具上。,为了确保货物能够按时到达目的地，工人们迅速地将这批物资从卡车上转载到了火车上。,6,2369.900000000023
19,cleaned_10a,97,488,当头,动词。放在首位。,敢字当头。,5,2541.899999991059
19,cleaned_10a,98,1010,过来,动词；趋向动词。用在动词后，表示来到自己所在的地方。,捷报从四面八方飞过来。,1,2541.199999999953
19,cleaned_10a,99,530,打尖,动词。掐去棉花、番茄等植株的顶尖儿。,我自从放假后就一直在家给棉花打尖。,7,1791.59999999404
19,cleaned_10a,100,1073,陈言,名词。〈书面语〉陈旧的话。,假如望文生义，我们试为附会作新的解释，又何取乎古人之陈言。,7,1172.999999996973
19,cleaned_10a,101,412,小儿,名词。〈口语〉男孩子。,胖小儿。,3,2574.699999994016
19,cleaned_10a,102,889,肚子,名词。物体圆而凸起像肚子的部分。,腿肚子。,5,5084.899999991059
19,cleaned_10a,103,710,沉着,动词。非细胞性的物质（色素、钙质等）沉积在机体的组织中。,工业废水中的污染物在水体底部沉着，对生态系统造成了严重影响。,7,2939.5
19,cleaned_10a,104,993,跑车,名词。林区运木材用的一种车。,跑车的设计非常独特，能够适应林区复杂的地形，确保木材能够顺利、安全地运输到目的地。,7,2554.899999991059
19,cleaned_10a,105,659,机动,形容词；属性词。利用机器开动的。,机动车。,5,3775.599999997066
19,cleaned_10a,106,616,断代,动词。按时代分成段落。,文学史的断代研究。,7,2411.999999991036
19,cleaned_10a,107,359,大略,名词。大致的情况或内容。,这个厂的问题我只知道个大略。,7,1427.499999994063
19,cleaned_10a,108,324,外道,名词。佛教称其他宗教和学说为外道。,在佛教盛行的时期，许多外道也逐渐融入了佛教的文化和哲学体系中。,7,1403.59999999404
19,cleaned_10a,109,272,咕噜,动词。咕哝。,他在睡梦中咕噜着一些听不清的话，似乎在做着一个美好的梦。,6,2062.20000000298
19,cleaned_10a,110,626,方子,名词。〈口语〉配方。,这是他家祖传的方子，不得外传。,3,2651.199999997043
19,cleaned_10a,111,53,下水,动词。把某些纺织品、纤维等浸在水中使收缩。,这件料子等下水后再拿去做衣服。,7,3294.399999996996
19,cleaned_10a,112,426,尽量,副词。表示力求在一定范围内达到最大限度。,把你知道的尽量告诉给大家。,2,2551.800000002957
19,cleaned_10a,113,917,苦头,名词。稍苦的味道。,这口井的水带点儿苦头儿。,7,2107.599999999977
19,cleaned_10a,114,560,抬杠,动词。指用杠子抬运灵柩。,那四个长工里头，有一个原是抬杠的团头出身，只因有一膀好力气，认识邓九公，便投在他庄上。,5,2350.800000000047
19,cleaned_10a,115,804,现世,动词。出丑；丢脸。,你没本事做这工作就不要现世！,7,1521.100000003004
19,cleaned_10a,116,373,好事,名词。指僧道拜忏、打醮等事。,天师在东京禁院做了七昼夜好事，普施符箓，禳救灾病。,7,2617.399999996996
19,cleaned_10a,117,379,婉辞,名词。婉言。也作婉词。,婉辞告退。,6,1763.300000000047
19,cleaned_10a,118,945,见长,动词。看着比原来高或大。,一场春雨后，麦苗见长了。,6,2134.799999993993
19,cleaned_10a,119,411,小儿,名词。〈口语〉指幼年。,我从小儿就喜欢在院子里追逐蝴蝶，享受大自然的乐趣。,5,2746.300000002957
19,cleaned_10a,120,843,短款,形容词；属性词。款式较短的（服装）。,短款大衣。,3,2467.099999997066
19,cleaned_10a,121,204,卷子,名词。考试写答案的薄本子或单页纸；试卷。,改卷子。,2,5002.899999996996
19,cleaned_10a,122,265,呼噜,拟声词。形容打鼾或吸食流质食物等发出的声音。,他气管炎犯了，嗓子里呼噜呼噜老响。,2,3192.20000000298
19,cleaned_10a,123,343,大方,名词。〈书面语〉指专家学者；内行人。,大方之家。,7,2357.399999996996
19,cleaned_10a,124,964,调配,动词。调动分配。,劳动力和工具调配得合理，工作进行就顺利。,5,2276.699999997043
19,cleaned_10a,125,623,新生,名词。新入学的学生。,新生报到处。,2,3257.899999996996
19,cleaned_10a,126,532,打枪,动词。枪替。,他因为打枪被学校发现了，结果受到了严重的纪律处分。,4,6788.199999997043
19,cleaned_10a,127,949,言语,动词。〈口语〉说；说话。,你走的时候言语一声儿。,7,2835.999999991036
19,cleaned_10a,128,285,四体,名词。〈书面语〉指人的四肢。,四体不勤，五谷不分。,7,9173.799999991083
19,cleaned_10a,129,805,球台,名词。球体被两个平行平面所截而夹在两平面中间的部分。,在数学中，夹在两平行平面间的部分叫做球台，两平行平面间的距离叫做球台的高。,5,5802.399999994086
19,cleaned_10a,130,559,抬杠,动词。〈口语〉争辩（多指无谓的）。,抬杠拌嘴。,3,2270.099999991013
19,cleaned_10a,131,121,使得,动词。可以使用。,这支笔使得使不得？,5,3892.699999997043
19,cleaned_10a,132,132,倒车,动词。使车向后退。,倒车时一定要注意车后有没有行人。,4,1822.70000000298
19,cleaned_10a,133,881,罢了,动词。因遇到困难而作罢。,春节本来想去旅游，可买不到票，只好罢了。,6,4427.099999997066
19,cleaned_10a,134,670,松散,形容词。关系不密切。,松散的联盟。,3,2521.799999993993
19,cleaned_10a,135,1105,鱼白,名词。鱼肚白。,东方一线鱼白，黎明已经到来。,5,2474.899999994086
19,cleaned_10a,136,192,包金,动词。把极薄的金箔包在金属首饰外面。,包金项链。,7,2579.999999996973
19,cleaned_10a,137,850,私房,形容词；属性词。不愿让外人知道的。,私房话。,6,2836.79999999702
19,cleaned_10a,138,597,改编,动词。改变原来的编制（多指军队）。,把原来的三个师改编成两个师。,5,2270.999999994063
19,cleaned_10a,139,1067,门道,名词。〈口语〉门路。,外行看热闹，内行看门道。,4,2192.399999994086
19,cleaned_10a,140,577,挂单,动词。指金融市场交易中，投资者决定买卖时，通过电话、计算机等向交易系统发出买卖指令。,如果您已办理了一笔获利挂单、止损挂单或双向挂单，可以在其成交前，以一个更好的价格委托卖出上述挂单将要买入的币种，当原挂单成交后，追加委托挂单自动生效。,7,2551.699999991106
19,cleaned_10a,141,861,站台,动词。台湾地区指知名人士出席政治、商业、娱乐等集会，为主办方或候选人捧场、造势。,明星大腕儿纷纷赶来为新秀站台。,7,3506.199999991106
19,cleaned_10a,142,212,反正,动词。指重新归于正道。,拨乱反正。,6,3047.199999994016
19,cleaned_10a,143,218,发送,动词。发出；送出。,发送文件。,4,2577.299999993993
19,cleaned_10a,144,306,地道,形容词。真正是有名产地出产的。,地道药材。,7,5860.800000002957
19,cleaned_10a,145,705,水磨,动词。加水细磨。,花和尚鲁智深，使的就是这一件玩意儿，叫做水磨禅杖。,7,3529.59999999404
19,cleaned_10a,146,722,洒落,动词。分散地落下。,一串串汗珠洒落在地上。,5,1804.699999999953
19,cleaned_10a,147,9998,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,5144.199999997043
19,cleaned_10a,148,174,分头,副词。若干人分几个方面（进行工作）。,大家分头去准备。,5,3475.099999999977
19,cleaned_10a,149,579,指画,名词。国画中用指头、指甲和手掌蘸水墨或颜色画出的画。,在国学课上，老师向我们展示了指画的魅力，让我们感受到了传统文化的博大精深。,7,5707.500000003027
19,cleaned_10a,150,105,人流,名词。人工流产的简称。,在经过深思熟虑后，她决定接受人流手术，希望未来能做好更充分的准备。,6,3154.899999991059
19,cleaned_10a,151,25,上装,名词。上衣。,那个发育未全的小兵，照例尾随着他，穿着一件普通兵士的上装，一直盖过膝头。,4,3618.600000003004
19,cleaned_10a,152,1006,过年,动词。在新年或春节期间进行庆祝等活动。,洋学堂是不过年的，我晓得。,1,2996.199999999953
19,cleaned_10a,153,512,成家,动词。成为专家。,成名成家。,7,2179.900000002934
19,cleaned_10a,154,303,地头,名词。田地的两端。,请大家在地头休息一会儿。,7,6484.699999991106
19,cleaned_10a,155,568,拉皮,动词。通过手术等方法使松弛的皮肤变紧。,拉皮是近年来热门的美容手术。,7,2044.399999991059
19,cleaned_10a,156,274,哈喇,动词。杀死（多见于早期白话）。,不如只一刀哈喇了他。,7,1850.300000000047
19,cleaned_10a,157,32,上门,动词。到别人家里去；登门。,送货上门。,4,3490.399999994086
19,cleaned_10a,158,594,支派,名词。分出来的派别；分支。,海外华人中有客家支派。,7,1555.099999991013
19,cleaned_10a,159,445,库藏,名词。库房里储藏的东西。,清理库藏。,7,2669.899999996996
19,cleaned_10a,160,583,推展,动词。推介展销。,商场举办羊绒精品推展活动。,7,3388.999999994063
19,cleaned_10a,161,665,来得,动词。〈口语〉（相比之下）显得。,下棋太沉闷，还是打球来得痛快。,3,4026.199999997043
19,cleaned_10a,162,442,干将,名词。古代宝剑名，常跟“镆铘”并说，泛指宝剑。,这把剑虽没有干将莫邪那一双古剑有名，却也是难得的武器。,6,3936.999999996973
19,cleaned_10a,163,262,呼号,动词。因极端悲伤而哭叫；因处于困境需要援助而叫喊。,在灾难现场，失去亲人的孤儿呼号着寻找母亲，那悲切的声音让在场的人无不动容。,6,2333.999999996973
19,cleaned_10a,164,914,艾虎,名词。用艾做成的像老虎的东西，旧俗端午节给儿童戴在头上，认为可以驱邪。,端午节那天，家家户户都会制作艾虎挂在门上，以求驱邪避害，保佑家人平安。,7,1388.600000003004
19,cleaned_10a,165,226,口子,量词。〈口语〉用于人。,你们家有几口子？,4,4108.599999997066
19,cleaned_10a,166,773,烧纸,名词。纸钱的一种，在较大的纸片上刻出或印上钱形。,老人教孙七点上香烛，焚化烧纸，他自己给小崔穿上衣裤。,3,2403.699999999953
19,cleaned_10a,167,235,合口,动词。疮口或伤口长好。,啊呀，这儿还没有合口，不能动。,7,1334.099999991013
19,cleaned_10a,168,7,丈人,名词。岳父。,你丈人这样困难，做女婿的替丈人还点债，不是应当的吗？,6,2635.500000003027
19,cleaned_10a,169,520,扑打,动词。轻轻地拍。,扑打身上的雪花。,4,6690.400000000023
19,cleaned_10a,170,911,船帮,名词。船身的侧面。,他靠在船帮上，静静地欣赏着湖光山色。,7,1888
19,cleaned_10a,171,250,名家,名词。先秦时期以辩论“名”（概念）“实”（事实）关系问题为中心的一个思想派别，以惠施、公孙龙为代表，名家的特点是用比较严格的推理形式来辩论问题，但有时流于诡辩。它对我国古代逻辑学的发展有一定贡献。,在先秦时期，名家以其独特的思想视角和深邃的哲学思考独树一帜，尤以惠施与公孙龙为代表。,7,2697.299999993993
19,cleaned_10a,172,664,来得,动词。〈口语〉胜任。,他说话有点儿口吃，笔底下倒来得。,7,3517.099999997066
19,cleaned_10a,173,732,消耗,名词。音信（多见于早期白话）。,杳无消耗。,4,2740.000000003027
19,cleaned_10a,174,951,计数,动词。数事物的个数；统计数目。,计数器。,3,2426.999999994063
19,cleaned_10a,175,877,罗锅,名词。指驼背的人。,这人是个罗锅儿。,5,2561.900000000023
19,cleaned_10a,176,999,转向,动词。转变方向。,上午是东风，下午转向了，成了南风。,3,4931.199999991106
19,cleaned_10a,177,900,自是,形容词。自以为是。,他既很自是又很顽固。,7,6845.599999997066
19,cleaned_10a,178,882,罢了,动词。表示容忍，有勉强放过暂不深究或无可奈何的意思；算了。,他自己不愿参加也就罢了，干吗还不让别人参加？,2,3059.600000003004
19,cleaned_10a,179,1031,透析,动词。医学上指利用渗析技术把体液中的毒素和代谢产物排出体外。,肾衰竭患者需要定期进行透析治疗，以清除体内的毒素和多余水分。,6,4176.800000002957
19,cleaned_10a,180,134,倒转,动词。倒着转动。,历史的车轮不会倒转。,3,1817.599999997066
19,cleaned_10a,181,453,开化,动词。由原始的状态进入文明的状态。,我国是四千年来的古国，开化最早，一切礼教文物，都超越乎泰西诸邦。,5,4124.199999999953
19,cleaned_10a,182,254,吐气,动词。发泄出积在胸中的委屈或怨恨而感到痛快。,扬眉吐气。,4,3131.399999994086
19,cleaned_10a,183,828,白头,名词。白发，指老年。,白头偕老。,2,1966.29999999702
19,cleaned_10a,184,667,来路,名词。来源。,断了生活来路。,3,2070.499999991036
19,cleaned_10a,185,144,公差,名词。临时派遣去做的公务。,出公差。,4,1830.699999997043
19,cleaned_10a,186,1009,过来,动词。从另一个地点向说话人（或叙述的对象）所在地来。,车来了，赶快过来吧！,1,2702.199999994016
19,cleaned_10a,187,546,把子,量词。一手抓起的数量，多用于长条形东西。,一把子韭菜。,5,3486.600000003004
19,cleaned_10a,188,154,几何,代词。〈书面语〉疑问代词。多少。,价值几何？,6,2789.09999999404
19,cleaned_10a,189,409,小儿,名词。儿童。,管家走到门口，只见一个小儿开门出来，手里拿了一个筲箕出去买米。,5,4019.399999996996
19,cleaned_10a,190,42,下手,动词。动手；着手。,先下手为强。,4,1948.699999997043
19,cleaned_10a,191,330,多少,代词；疑问代词。表示不定的数量。,我知道多少说多少。,1,2801.300000000047
19,cleaned_10a,192,501,急难,名词。危急的事；危难。,急难之中见人心。,4,2398.599999997066
19,cleaned_10a,193,486,当头,副词。正对着头；迎头。,当头一棒。,3,2466.999999996973
19,cleaned_10a,194,822,用心,名词。怀着的某种念头。,别有用心。,4,2342.100000003004
19,cleaned_10a,195,156,出典,名词。典故的来源；出处。,“守株待兔”这个成语的出典见《韩非子五蠹》。,5,3547
19,cleaned_10a,196,724,活路,名词。走得通的路。,遇见白杨树向右转是一条活路。,6,3542.900000000023
19,cleaned_10a,197,449,应声,动词。〈口语〉出声回答。,敲了一阵门，里边没有人应声儿。,6,2456.999999991036
19,cleaned_10a,198,519,扑打,动词。用扁平的东西猛然朝下打。,扑打蝗虫。,4,2755.999999996973
19,cleaned_10a,199,859,立地,副词。立刻。,放下屠刀，立地成佛。,4,2892.099999991013
19,cleaned_10a,200,152,冷面,形容词。形容不讲私情或神情冷傲。,冷面包公。,5,2374.099999999977
19,cleaned_10a,201,753,滴答,动词。成滴地落下。,汗直往下滴答。,3,1692.000000003027
19,cleaned_10a,202,952,试播,动词。新种子、新播种方法推广前，先在小范围内进行试验性播种，以检验其质量和效果。,今年春季，农业研究所决定对新研发的高产玉米种子进行试播。,6,12692.99999999395
19,cleaned_10a,203,375,好事,名词。喜庆事。,少爷考上大学，这是大好事，太太为何落泪？,2,1607.399999991059
19,cleaned_10a,204,1004,转运,动词。运气好转。,我这次出门以前，有朋友跟我排过八字，说现在正转运，一路逢凶化吉。,5,2899.499999996973
19,cleaned_10a,205,769,烟火,名词。〈书面语〉烽火；战火。,北边自宣帝以来，数世不见烟火之警，人民炽盛，牛羊布野。,6,3194.399999994086
19,cleaned_10a,206,219,发送,动词。办丧事，特指殡葬。,我已经发送了一个姑爷，还得再给亲家母打幡儿吗？,7,2660.799999993993
19,cleaned_10a,207,1053,重读,动词。把一个词或一个词组里的某个音节或语句里的某几个音节读得重些、强些。,在朗诵诗歌时，正确把握每个单词的重读音节可以使朗诵更加富有节奏感和韵律美。,3,4097.399999991059
19,cleaned_10a,208,762,点子,名词。主意；办法。,出点子。,3,1571.699999994133
19,cleaned_10a,209,849,私房,形容词；属性词。家庭成员个人积蓄的（财物）。,私房钱。,6,2591.299999993993
19,cleaned_10a,210,1107,黑人,名词。姓名没有登记在户籍上的人。,反正娃娃一直是个黑人，公社、大队不承认他，不给登记户口。,7,1745.899999994086
19,cleaned_10a,211,650,朱墨,名词。用朱砂制成的墨。,书房里摆放着一方朱墨，散发着独特的韵味。,7,1252.599999997066
19,cleaned_10a,212,414,小号,名词。商人谦称自己的铺子。,郭掌柜道：他可是小号的老主顾。,7,2372.999999996973
