item_id,word_id,sense_id,headword,pinyin_tag,pinyin,definition,pos_tag,pos,sense_tag,sense,meaning,example,character_count,homograph,polyseme,XDHYCD,XDHYDCD,HYDCD,Oxford,Baidu,Online
22,8,1,上色,shàngsè,shàngsè,"<entry id=""45100""><hwg><hw>上色</hw><pinyin>shàngsè</pinyin></hwg><def><ps>形</ps>属性词。上等的；高级的：<ex>～绿茶｜～材料。</ex></def>",形容词；属性词。,形容词,上等的；高级的。,上等的；高级的。,形容词；属性词。上等的；高级的。,上色绿茶。,23,1,0,1.0,,,,,
23,8,2,上色,shàng//shǎi,shàngshǎi,"<entry id=""45101""><hwg><hw>上色</hw><pinyin>shàng//shǎi</pinyin></hwg><def><ps>动</ps>（在图画、工艺美术品等上面）加颜色：<ex>地图的轮廓已经画好，还没～。</ex></def>",动词。,动词,（在图画、工艺美术品等上面）加颜色。,（在图画、工艺美术品等上面）加颜色。,动词。（在图画、工艺美术品等上面）加颜色。,地图的轮廓已经画好，还没上色。,38,1,0,1.0,,,,,
24,9,1,上装,shàng//zhuāng,shàngzhuāng,"<entry id=""45176""><hwg><hw>上装<sup>1</sup></hw><pinyin>shàng//zhuāng</pinyin></hwg><def><ps>动</ps>（演员）化装。</def>",动词。,动词,（演员）化装。,（演员）化装。,动词。（演员）化装。,叫天又抽了一口烟，立起来道：“是时候了，咱们去罢。”就同瑶卿走到后台去上装。,50,0,0,,,1.0,,,
25,9,2,上装,shàngzhuāng,shàngzhuāng,"<entry id=""45177""><hwg><hw>上装<sup>2</sup></hw><pinyin>shàngzhuāng</pinyin></hwg><def><ps>名</ps>上衣。</def>",名词。,名词,上衣。,上衣。,名词。上衣。,那个发育未全的小兵，照例尾随着他，穿着一件普通兵士的上装，一直盖过膝头。,44,0,0,,1.0,,,,
26,10,1,上调,shàngdiào,shàngdiào,"<entry id=""45032""><hwg><hw>上调</hw><pinyin>shàngdiào</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 调到上面工作：<ex>他已经从车间～到厂部了。</ex></def><def><num>❷</num> 上级调用（财物等）：<ex>这是～的木材。</ex></def><def>　另见<pinyin>shàngtiáo</pinyin>。</def>",动词。,动词,调到上面工作。,调到上面工作。,动词。调到上面工作。,他已经从车间上调到厂部了。,25,1,1,1.0,,,,,
27,10,2,上调,shàngdiào,shàngdiào,"<entry id=""45032""><hwg><hw>上调</hw><pinyin>shàngdiào</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 调到上面工作：<ex>他已经从车间～到厂部了。</ex></def><def><num>❷</num> 上级调用（财物等）：<ex>这是～的木材。</ex></def><def>　另见<pinyin>shàngtiáo</pinyin>。</def>",动词。,动词,上级调用（财物等）。,上级调用（财物等）。,动词。上级调用（财物等）。,这是上调的木材。,23,1,1,1.0,,,,,
28,10,3,上调,shàngtiáo,shàngtiáo,"<entry id=""45133""><hwg><hw>上调</hw><pinyin>shàngtiáo</pinyin></hwg><def><ps>动</ps>（价格、利率等）向上调整。</def><def>　另见<pinyin>shàngdiào</pinyin>。</def>",动词。,动词,（价格、利率等）向上调整。,（价格、利率等）向上调整。,动词。（价格、利率等）向上调整。,某些商品的价格有上调和下降的现象也是合理的。,40,1,0,,1.0,,,,
29,11,1,上身,shàng//shēn,shàngshēn,"<entry id=""45105""><hwg><hw>上身<sup>1</sup></hw><pinyin>shàng//shēn</pinyin></hwg><def><ps>动</ps>新衣初次穿在身上：<ex>这件新褂子刚～就撕了个口子。</ex></def>",动词。,动词,新衣初次穿在身上。,新衣初次穿在身上。,动词。新衣初次穿在身上。,这件新褂子刚上身就撕了个口子。,29,0,0,1.0,,,,,
30,11,2,上身,shàngshēn,shàngshēn,"<entry id=""45106""><hwg><hw>上身<sup>2</sup></hw><pinyin>shàngshēn</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 身体的上半部：<ex>他～只穿一件衬衫。</ex></def><def><num>❷</num> （～<small>儿</small>）上衣：<ex>她穿着白～，花裙子。</ex></def>",名词。,名词,身体的上半部。,身体的上半部。,名词。身体的上半部。,他上身只穿一件衬衫。,22,0,1,1.0,,,,,
31,11,3,上身,shàngshēn,shàngshēn,"<entry id=""45106""><hwg><hw>上身<sup>2</sup></hw><pinyin>shàngshēn</pinyin></hwg><def><ps>名</ps></def><def><num>❶</num> 身体的上半部：<ex>他～只穿一件衬衫。</ex></def><def><num>❷</num> （～<small>儿</small>）上衣：<ex>她穿着白～，花裙子。</ex></def>",名词。,名词,（上身儿）上衣。,上衣。,名词。上衣。,她穿着白上身，花裙子。,19,0,1,1.0,,,,,
32,12,1,上门,shàng//mén,shàngmén,"<entry id=""45087""><hwg><hw>上门<sup>1</sup></hw><pinyin>shàng//mén</pinyin></hwg><def>（～<small>儿</small>）<ps>动</ps></def><def><num>❶</num> 到别人家里去；登门：<ex>送货～。</ex></def><def><num>❷</num> 〈方〉指入赘：<ex>～女婿。</ex></def>",动词。,动词,（上门儿）到别人家里去；登门。,到别人家里去；登门。,动词。到别人家里去；登门。,送货上门。,20,0,0,1.0,,,,,
33,12,2,上门,shàng//mén,shàngmén,"<entry id=""45088""><hwg><hw>上门<sup>2</sup></hw><pinyin>shàng//mén</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 上门闩。</def><def><num>❷</num> 指商店停止营业：<ex>～关张。</ex></def>",动词。,动词,上门闩。,上门闩。,动词。上门闩。,“老李！上门哪！该玩玩去了！”马威笑着说。“好，关门！”李子荣笑着回答。,45,0,1,,,1.0,,,
34,12,3,上门,shàng//mén,shàngmén,"<entry id=""45088""><hwg><hw>上门<sup>2</sup></hw><pinyin>shàng//mén</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 上门闩。</def><def><num>❷</num> 指商店停止营业：<ex>～关张。</ex></def>",动词。,动词,指商店停止营业。,指商店停止营业。,动词。指商店停止营业。,夜已经深了，店家大家上门的上门，开赌的开赌。,35,0,1,,1.0,,,,
35,13,1,下去,xià//·qù,xiàqù,"<entry id=""55663""><hwg><hw>下去</hw><pinyin>xià//·qù</pinyin></hwg><def><ps>动</ps>由高处到低处去：<ex>从斜井～一百米，就到工作面◇领导干部每月要～几天。</ex></def>",动词。,动词,由高处到低处去。,由高处到低处去。,动词。由高处到低处去。,从斜井下去一百米，就到工作面。,28,0,0,1.0,,,,,
36,13,2,下去,//·xià//·qù,xiàqù,"<entry id=""55664""><hwg><hw>下去</hw><pinyin>//·xià//·qù</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由高处向低处或由近处向远处去：<ex>石头从山上滚～◇把敌人的火力压～。</ex></def><def><num>❷</num> 用在动词后，表示从现在继续到将来：<ex>坚持～｜说不～。</ex></def><def><num>❸</num> 用在形容词后，表示某种状态已经存在并将继续发展：<ex>天气可能再冷～，务必做好防冻保暖工作。</ex></def>",动词；趋向动词。,动词,用在动词后，表示由高处向低处或由近处向远处去。,用在动词后，表示由高处向低处或由近处向远处去。,动词；趋向动词。用在动词后，表示由高处向低处或由近处向远处去。,石头从山上滚下去。,42,0,1,1.0,,,,,
37,13,3,下去,//·xià//·qù,xiàqù,"<entry id=""55664""><hwg><hw>下去</hw><pinyin>//·xià//·qù</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由高处向低处或由近处向远处去：<ex>石头从山上滚～◇把敌人的火力压～。</ex></def><def><num>❷</num> 用在动词后，表示从现在继续到将来：<ex>坚持～｜说不～。</ex></def><def><num>❸</num> 用在形容词后，表示某种状态已经存在并将继续发展：<ex>天气可能再冷～，务必做好防冻保暖工作。</ex></def>",动词；趋向动词。,动词,用在动词后，表示从现在继续到将来。,用在动词后，表示从现在继续到将来。,动词；趋向动词。用在动词后，表示从现在继续到将来。,坚持下去。,32,0,1,1.0,,,,,
38,13,4,下去,//·xià//·qù,xiàqù,"<entry id=""55664""><hwg><hw>下去</hw><pinyin>//·xià//·qù</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由高处向低处或由近处向远处去：<ex>石头从山上滚～◇把敌人的火力压～。</ex></def><def><num>❷</num> 用在动词后，表示从现在继续到将来：<ex>坚持～｜说不～。</ex></def><def><num>❸</num> 用在形容词后，表示某种状态已经存在并将继续发展：<ex>天气可能再冷～，务必做好防冻保暖工作。</ex></def>",动词；趋向动词。,动词,用在形容词后，表示某种状态已经存在并将继续发展。,用在形容词后，表示某种状态已经存在并将继续发展。,动词；趋向动词。用在形容词后，表示某种状态已经存在并将继续发展。,天气可能再冷下去，务必做好防冻保暖工作。,54,0,1,1.0,,,,,
39,14,1,下子,xià//zǐ,xiàzǐ,"<entry id=""55728""><hwg><hw>下子</hw><pinyin>xià//zǐ</pinyin></hwg><def>（～<small>儿</small>）<ps>动</ps></def><def><num>❶</num> 播下种子。</def><def><num>❷</num> 产卵。</def>",动词。,动词,（下子儿）播下种子。,播下种子。,动词。播下种子。,农民们在春天辛勤劳作，及时下子，期待着秋天的丰收。,35,1,1,,,,,1.0,
40,14,2,下子,xià//zǐ,xiàzǐ,"<entry id=""55728""><hwg><hw>下子</hw><pinyin>xià//zǐ</pinyin></hwg><def>（～<small>儿</small>）<ps>动</ps></def><def><num>❶</num> 播下种子。</def><def><num>❷</num> 产卵。</def>",动词。,动词,（下子儿）产卵。,产卵。,动词。产卵。,为了让母鸡多下子，奶奶精心给它们准备了营养饲料。,32,1,1,,,,,1.0,
41,14,3,下子,xià·zi,xiàzi,"<entry id=""55729""><hwg><hw>下子</hw><pinyin>xià·zi</pinyin></hwg><def><ps>量</ps>下㉑。</def>",量词。,量词,下。,下。,量词。下。,快拿大杯来，我要灌他几下子。,21,1,0,,1.0,,,,
42,15,1,下手,xià//shǒu,xiàshǒu,"<entry id=""55676""><hwg><hw>下手<sup>1</sup></hw><pinyin>xià//shǒu</pinyin></hwg><def><ps>动</ps>动手；着手：<ex>先～为强｜无从～｜我们还没到，人家就下了手了。</ex></def>",动词。,动词,动手；着手。,动手；着手。,动词。动手；着手。,先下手为强。,17,0,0,1.0,,,,,
43,15,2,下手,xiàshǒu,xiàshǒu,"<entry id=""55677""><hwg><hw>下手<sup>2</sup></hw><pinyin>xiàshǒu</pinyin></hwg><def><num>❶</num> （～<small>儿</small>）<ps>名</ps>下家①。</def><def><num>❷</num> （～<small>儿</small>）<ps>名</ps>助手：<ex>打～（担任助手）。</ex></def><def><num>❸</num> 同“<a href=""entry://下首"">下首</a>”。</def>",名词。,名词,（下手儿）下家。,下家。,名词。下家。,你这张王牌打出去，下手就只能认输。,25,0,1,,1.0,,,,
44,15,3,下手,xiàshǒu,xiàshǒu,"<entry id=""55677""><hwg><hw>下手<sup>2</sup></hw><pinyin>xiàshǒu</pinyin></hwg><def><num>❶</num> （～<small>儿</small>）<ps>名</ps>下家①。</def><def><num>❷</num> （～<small>儿</small>）<ps>名</ps>助手：<ex>打～（担任助手）。</ex></def><def><num>❸</num> 同“<a href=""entry://下首"">下首</a>”。</def>",名词。,名词,（下手儿）助手。,助手。,名词。助手。,打下手。,12,0,1,1.0,,,,,
45,16,1,下来,xià//·lái,xiàlái,"<entry id=""55645""><hwg><hw>下来</hw><pinyin>xià//·lái</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 由高处到低处来：<ex>他从山坡上～了◇昨天省里～两位干部。</ex></def><def><num>❷</num> 指谷物、水果、蔬菜等成熟或收获：<ex>再有半个月桃就～了。</ex></def><def><num>❸</num> 用在时间词语后，表示一段时间终结：<ex>几年～，兄弟俩创下百万资产。</ex></def>",动词。,动词,由高处到低处来。,由高处到低处来。,动词。由高处到低处来。,他从山坡上下来了。,22,0,1,1.0,,,,,
46,16,2,下来,xià//·lái,xiàlái,"<entry id=""55645""><hwg><hw>下来</hw><pinyin>xià//·lái</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 由高处到低处来：<ex>他从山坡上～了◇昨天省里～两位干部。</ex></def><def><num>❷</num> 指谷物、水果、蔬菜等成熟或收获：<ex>再有半个月桃就～了。</ex></def><def><num>❸</num> 用在时间词语后，表示一段时间终结：<ex>几年～，兄弟俩创下百万资产。</ex></def>",动词。,动词,指谷物、水果、蔬菜等成熟或收获。,指谷物、水果、蔬菜等成熟或收获。,动词。指谷物、水果、蔬菜等成熟或收获。,再有半个月桃就下来了。,32,0,1,1.0,,,,,
47,16,3,下来,xià//·lái,xiàlái,"<entry id=""55645""><hwg><hw>下来</hw><pinyin>xià//·lái</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 由高处到低处来：<ex>他从山坡上～了◇昨天省里～两位干部。</ex></def><def><num>❷</num> 指谷物、水果、蔬菜等成熟或收获：<ex>再有半个月桃就～了。</ex></def><def><num>❸</num> 用在时间词语后，表示一段时间终结：<ex>几年～，兄弟俩创下百万资产。</ex></def>",动词。,动词,用在时间词语后，表示一段时间终结。,用在时间词语后，表示一段时间终结。,动词。用在时间词语后，表示一段时间终结。,几年下来，兄弟俩创下百万资产。,37,0,1,1.0,,,,,
48,16,4,下来,//·xià//·lái,xiàlái,"<entry id=""55646""><hwg><hw>下来</hw><pinyin>//·xià//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由高处向低处或由远处向近处来：<ex>把树上的苹果摘～｜河水从上游流～｜又派下新任务来了。</ex></def><def><num>❷</num> 用在动词后，表示从过去继续到现在或从开始继续到最后：<ex>古代流传～的神话｜所有参加业余培训的人都坚持～了。</ex></def><def><num>❸</num> 用在动词后，表示动作的完成或结果：<ex>把情况记录～｜车渐渐停了～｜起下几个钉子来。</ex></def><def><num>❹</num> 用在形容词后，表示某种状态开始出现并继续发展：<ex>天色渐渐黑～｜声音慢慢低了～。</ex></def>",动词；趋向动词。,动词,用在动词后，表示由高处向低处或由远处向近处来。,用在动词后，表示由高处向低处或由远处向近处来。,动词；趋向动词。用在动词后，表示由高处向低处或由远处向近处来。,把树上的苹果摘下来。,43,0,1,1.0,,,,,
49,16,5,下来,//·xià//·lái,xiàlái,"<entry id=""55646""><hwg><hw>下来</hw><pinyin>//·xià//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由高处向低处或由远处向近处来：<ex>把树上的苹果摘～｜河水从上游流～｜又派下新任务来了。</ex></def><def><num>❷</num> 用在动词后，表示从过去继续到现在或从开始继续到最后：<ex>古代流传～的神话｜所有参加业余培训的人都坚持～了。</ex></def><def><num>❸</num> 用在动词后，表示动作的完成或结果：<ex>把情况记录～｜车渐渐停了～｜起下几个钉子来。</ex></def><def><num>❹</num> 用在形容词后，表示某种状态开始出现并继续发展：<ex>天色渐渐黑～｜声音慢慢低了～。</ex></def>",动词；趋向动词。,动词,用在动词后，表示从过去继续到现在或从开始继续到最后。,用在动词后，表示从过去继续到现在或从开始继续到最后。,动词；趋向动词。用在动词后，表示从过去继续到现在或从开始继续到最后。,古代流传下来的神话。,46,0,1,1.0,,,,,
50,16,6,下来,//·xià//·lái,xiàlái,"<entry id=""55646""><hwg><hw>下来</hw><pinyin>//·xià//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由高处向低处或由远处向近处来：<ex>把树上的苹果摘～｜河水从上游流～｜又派下新任务来了。</ex></def><def><num>❷</num> 用在动词后，表示从过去继续到现在或从开始继续到最后：<ex>古代流传～的神话｜所有参加业余培训的人都坚持～了。</ex></def><def><num>❸</num> 用在动词后，表示动作的完成或结果：<ex>把情况记录～｜车渐渐停了～｜起下几个钉子来。</ex></def><def><num>❹</num> 用在形容词后，表示某种状态开始出现并继续发展：<ex>天色渐渐黑～｜声音慢慢低了～。</ex></def>",动词；趋向动词。,动词,用在动词后，表示动作的完成或结果。,用在动词后，表示动作的完成或结果。,动词；趋向动词。用在动词后，表示动作的完成或结果。,把情况记录下来。,35,0,1,1.0,,,,,
51,16,7,下来,//·xià//·lái,xiàlái,"<entry id=""55646""><hwg><hw>下来</hw><pinyin>//·xià//·lái</pinyin></hwg><def><ps>动</ps>趋向动词。</def><def><num>❶</num> 用在动词后，表示由高处向低处或由远处向近处来：<ex>把树上的苹果摘～｜河水从上游流～｜又派下新任务来了。</ex></def><def><num>❷</num> 用在动词后，表示从过去继续到现在或从开始继续到最后：<ex>古代流传～的神话｜所有参加业余培训的人都坚持～了。</ex></def><def><num>❸</num> 用在动词后，表示动作的完成或结果：<ex>把情况记录～｜车渐渐停了～｜起下几个钉子来。</ex></def><def><num>❹</num> 用在形容词后，表示某种状态开始出现并继续发展：<ex>天色渐渐黑～｜声音慢慢低了～。</ex></def>",动词；趋向动词。,动词,用在形容词后，表示某种状态开始出现并继续发展。,用在形容词后，表示某种状态开始出现并继续发展。,动词；趋向动词。用在形容词后，表示某种状态开始出现并继续发展。,天色渐渐黑下来。,41,0,1,1.0,,,,,
