subject,item_id,headword,meaning,example,Response,RT_ms,anchor,list
23,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,950.1999999998952,exp2,List1
23,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,1099.90000000014,exp2,List1
23,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1667.89999999979,exp2,List1
23,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1342.800000000047,exp2,List1
24,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,3,5318.300000002957,exp2,List2
24,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,3,1479.000000003027,exp2,List2
24,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1817,exp2,List2
24,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1715.700000006007,exp2,List2
24,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,1786.399999999907,exp2,List2
25,202,烟花,名词。旧时指妓女。,沦为烟花。,6,3674.300000002957,exp2,List1
25,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,2943.100000003004,exp2,List1
25,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,4021.79999999702,exp2,List1
25,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,2903.70000000298,exp2,List1
25,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2898.299999994226,exp2,List1
26,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,3059.099999998871,exp2,List2
26,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2319.899999998859,exp2,List2
26,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2955.999999998603,exp2,List2
26,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,2223.39999999851,exp2,List2
26,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,1896.899999998976,exp2,List2
27,202,烟花,名词。旧时指妓女。,沦为烟花。,7,2797.699999999953,exp2,List1
27,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,4610.199999996927,exp2,List1
27,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,5535.800000000047,exp2,List1
27,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,2302.799999999348,exp2,List1
27,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1010.799999997951,exp2,List1
28,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,3492.799999999988,exp2,List2
28,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,4805,exp2,List2
28,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,5433.899999999907,exp2,List2
28,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,5,3704.299999999814,exp2,List2
28,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2870.899999999907,exp2,List2
29,202,烟花,名词。旧时指妓女。,沦为烟花。,7,4936.699999975972,exp2,List1
29,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,4162.199999976903,exp2,List1
29,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,12848.89999996498,exp2,List1
29,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,2204.899999987334,exp2,List1
29,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,842.9999999646097,exp2,List1
30,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,4330.200000023819,exp2,List2
30,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,3417.700000023819,exp2,List2
30,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2394.500000011874,exp2,List2
30,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1390.500000023749,exp2,List2
30,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2668.100000011735,exp2,List2
31,202,烟花,名词。旧时指妓女。,沦为烟花。,3,5910.800000000047,exp2,List1
31,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,2401.200000000186,exp2,List1
31,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3451.699999999721,exp2,List1
31,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,2454.100000000093,exp2,List1
31,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1403.5,exp2,List1
32,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,4004.199999982113,exp2,List2
32,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,3520.799999982119,exp2,List2
32,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3051.699999982025,exp2,List2
32,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,3344.999999982072,exp2,List2
32,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,6,6768.299999982119,exp2,List2
33,202,烟花,名词。旧时指妓女。,沦为烟花。,7,1453.000000190688,exp2,List1
33,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,1616.800000095274,exp2,List1
33,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,4,816.0000000954606,exp2,List1
33,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,5,1619.100000190781,exp2,List1
33,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,4,1993.000000047497,exp2,List1
34,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,4,6262.500000002969,exp2,List2
34,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,4,3218.400000002992,exp2,List2
34,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2320.899999999907,exp2,List2
34,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1471.200000004377,exp2,List2
34,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,4390.30000000447,exp2,List2
35,202,烟花,名词。旧时指妓女。,沦为烟花。,7,2606.099999952363,exp2,List1
35,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,2168.799999952316,exp2,List1
35,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3451.399999952409,exp2,List1
35,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,8841.099999987986,exp2,List1
35,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,4186.299999976065,exp2,List1
36,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,4060.800000011921,exp2,List2
36,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,4094.600000017905,exp2,List2
36,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1319.200000023819,exp2,List2
36,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,1709.300000011921,exp2,List2
36,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2011.200000023935,exp2,List2
37,202,烟花,名词。旧时指妓女。,沦为烟花。,6,9466.500000572298,exp2,List1
37,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,1619.400000572205,exp2,List1
37,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,2547.200000190642,exp2,List1
37,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1500.800000572111,exp2,List1
37,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,677.2999999998137,exp2,List1
38,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,8736.200000005949,exp2,List2
38,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,3638.699999999953,exp2,List2
38,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,4468.600000002887,exp2,List2
38,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,3707.899999997113,exp2,List2
38,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,3385.20000000298,exp2,List2
1,202,烟花,名词。旧时指妓女。,沦为烟花。,7,3223.099999999977,exp2,List1
1,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,6,3478.099999976112,exp2,List1
1,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3637.600000000093,exp2,List1
1,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,4532.699999988079,exp2,List1
1,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1584.399999976158,exp2,List1
2,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,3201.899999999994,exp2,List2
2,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,4471.599999976112,exp2,List2
2,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3098.299999964423,exp2,List2
2,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2521.499999964144,exp2,List2
2,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,1712.399999988265,exp2,List2
39,202,烟花,名词。旧时指妓女。,沦为烟花。,7,8814.09999985696,exp2,List1
39,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,2161.699999856995,exp2,List1
39,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,2717.099999857135,exp2,List1
39,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1494.999999857042,exp2,List1
39,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2581.499999809079,exp2,List1
40,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,7472.600000000006,exp2,List2
40,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,5073.800000000047,exp2,List2
40,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1286.300000763033,exp2,List2
40,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,1499.100000190781,exp2,List2
40,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,3309.399999999907,exp2,List2
41,202,烟花,名词。旧时指妓女。,沦为烟花。,4,1582,exp2,List1
41,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,1294.000000000116,exp2,List1
41,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,6,1718.899999999907,exp2,List1
41,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,3764.09999999986,exp2,List1
41,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1157.699999999721,exp2,List1
42,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,2517.199999999953,exp2,List2
42,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2163.5,exp2,List2
42,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2028.100000000093,exp2,List2
42,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1674,exp2,List2
42,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,1650.000000000233,exp2,List2
43,202,烟花,名词。旧时指妓女。,沦为烟花。,6,2733.899999982095,exp2,List1
43,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,1555.399999982095,exp2,List1
43,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3195.899999994086,exp2,List1
43,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,3074.699999994133,exp2,List1
43,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1064.599999987986,exp2,List1
44,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,2,6235.5,exp2,List2
44,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,3,5212.70000000007,exp2,List2
44,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1536.09999999986,exp2,List2
44,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,2144.5,exp2,List2
44,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2685,exp2,List2
45,202,烟花,名词。旧时指妓女。,沦为烟花。,5,6115.600000071572,exp2,List1
45,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,4,3009.899999999907,exp2,List1
45,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,5304.200000047684,exp2,List1
45,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,4,2907.400000095367,exp2,List1
45,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,5,2909.400000071619,exp2,List1
46,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,6,6202,exp2,List2
46,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,11803,exp2,List2
46,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,2953,exp2,List2
46,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,1153,exp2,List2
46,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,4721.000000000233,exp2,List2
47,202,烟花,名词。旧时指妓女。,沦为烟花。,6,1976.574000011897,exp2,List1
47,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,5,2314.350000035716,exp2,List1
47,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,15779.20200001192,exp2,List1
47,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,3584.190000023926,exp2,List1
47,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2882.878000000026,exp2,List1
48,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,5694.200000023819,exp2,List2
48,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2909.499999988126,exp2,List2
48,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1417.599999987986,exp2,List2
48,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,2355.800000000047,exp2,List2
48,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2146.899999976158,exp2,List2
49,202,烟花,名词。旧时指妓女。,沦为烟花。,7,2634.800000023795,exp2,List1
49,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,3488.199999988079,exp2,List1
49,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3001.499999988126,exp2,List1
49,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,1565.800000023795,exp2,List1
49,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1283.899999999907,exp2,List1
50,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,2043.300000095362,exp2,List2
50,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2472.900000190712,exp2,List2
50,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,1700.400000047637,exp2,List2
50,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,1758.800000047777,exp2,List2
50,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,2124.600000143051,exp2,List2
51,202,烟花,名词。旧时指妓女。,沦为烟花。,7,4010.099999904633,exp2,List1
51,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,1848.300000000047,exp2,List1
51,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,7,3539.199999904726,exp2,List1
51,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,5679.299999904819,exp2,List1
51,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,1794.199999618344,exp2,List1
52,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,6,4172.79999999702,exp2,List2
52,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,7283.29999999702,exp2,List2
52,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,6,2710.499999991152,exp2,List2
52,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,7,3178.099999990314,exp2,List2
52,261,老公,名词。〈口语〉太监。,他就立刻进京，又走了老公的门路。,7,1744.800000000745,exp2,List2
53,202,烟花,名词。旧时指妓女。,沦为烟花。,7,2466.299999999988,exp2,List1
53,266,花红,名词。指有关结婚等喜庆事的礼物。,花红彩礼。,7,1680.700000047684,exp2,List1
53,231,积分,名词。积分描述物体运动的整体性质，例如由运动物体在各点的瞬间运动速度求物体运动的全部路程就是积分学的问题。,积分是高等数学中非常重要的一个分支。,6,2865.50000004773,exp2,List1
53,264,花红,名词。落叶小乔木，叶子卵形或椭圆形，花粉红色。果实球形，像苹果而小，黄绿色带微红，是常见的水果。,这种花红果实虽小，但口感独特，营养丰富。,7,5008.600000000093,exp2,List1
53,265,花红,名词。这种植物的果实。也叫林檎或沙果。,今天市场上的花红特别新鲜，颜色鲜红，看着就很有食欲。,7,2324.000000190921,exp2,List1
54,271,蘑菇,动词。故意纠缠。,你别跟我蘑菇，我还有要紧事儿。,7,4242.700000023848,exp2,List2
54,272,蘑菇,动词。行动迟缓，拖延时间。,你再这么蘑菇下去，非误了火车不可！,7,2501.900000000023,exp2,List2
54,267,花红,名词。红利。,师爷分到花红，就寄给家里的老婆。,7,3793.300000023795,exp2,List2
54,244,粒子,名词。构成物体的比原子核更简单的物质，包括电子、质子、中子、光子、介子、超子和各种反粒子等。也叫基本粒子。,中子粒子在原子核中扮演着重要的角色，它们与质子共同决定了原子核的稳定性和性质。,6,3945.5,exp2,List2
